intent,question
medicine_information,how does vitamin supplement work
disease_information,sinusitis
disease_information,tell me about diabetes
symptom_assistance,I have had leg cramps since yesterday
symptom_information,what are symptoms of weight loss
symptom_information,what are symptoms of low blood pressure
symptom_assistance,how can I treat cold
symptom_assistance,how can I get relief from itching
disease_information,tell me about mumps
symptom_assistance,I am experiencing bleeding gums
disease_information,tell me about food poisoning
disease_information,tell me about eczema
disease_information,what causes sinusitis
medicine_information,antiseptic cream
symptom_assistance,I have had excessive thirst for two days
symptom_assistance,I have been having yellow eyes
symptom_assistance,what should I do for dizziness
symptom_information,what are the signs of leg pain
symptom_assistance,how can I treat breathing problem
disease_information,what is urinary tract infection
symptom_information,what are symptoms of frequent urination
symptom_assistance,I have had bleeding gums since yesterday
symptom_information,what are the signs of ear pain
disease_information,dengue
symptom_assistance,how can I get relief from facial swelling
prevention,prevention
symptom_information,is irregular heartbeat serious
symptom_assistance,home remedy for frequent urination
symptom_assistance,I am experiencing muscle cramps
medicine_information,is omeprazole safe during pregnancy
medicine_information,what does aspirin do
disease_information,gout
symptom_information,what does watery eyes feel like
medicine_information,is medicine safe during pregnancy
symptom_assistance,how can I treat runny nose
symptom_assistance,what should I do for body pain
symptom_information,constipation
medicine_information,what is iron supplement used for
symptom_assistance,I have had stiff neck for two days
symptom_information,what are the symptoms of insomnia
disease_information,tell me about appendicitis
symptom_assistance,I have been having cracked lips
symptom_assistance,how can I get relief from loss of appetite
symptom_information,is difficulty swallowing serious
symptom_assistance,I think I have facial swelling
general_health,how can I maintain good health
medicine_information,what are the side effects of paracetamol
disease_information,how long does mumps last
symptom_assistance,home remedy for mood swings
disease_information,how long does migraine last
symptom_information,what are symptoms of muscle pain
disease_information,is kidney stones contagious
symptom_assistance,home remedy for runny nose
symptom_information,swollen ankles
prevention,how can I prevent stomach infections
symptom_information,what does excessive thirst feel like
symptom_assistance,I have had yellow skin for two days
disease_information,what is thyroid disorder
symptom_assistance,I have had weight gain for two days
disease_information,how common is pneumonia
disease_information,what are the risk factors for migraine
disease_information,how long does food poisoning last
symptom_assistance,I think I have sore throat
symptom_assistance,what medicine should I take for eye pain
medicine_information,how does antihistamine work
symptom_information,what does fever feel like
disease_information,what is pneumonia
symptom_information,what are the symptoms of chills
disease_information,is eczema curable
disease_information,tell me about vertigo
symptom_assistance,how can I treat palpitations
symptom_information,what are symptoms of low energy
symptom_assistance,I have had stiff neck since yesterday
symptom_information,how do I know if I have diarrhea
disease_information,is acne curable
symptom_assistance,I am having chest tightness
disease_information,how common is irritable bowel syndrome
symptom_assistance,I have had cracked lips since yesterday
symptom_assistance,I have had high blood pressure for two days
medicine_information,diclofenac
disease_information,is hypothyroidism curable
disease_information,what are the risk factors for asthma
disease_information,how is acne treated
symptom_information,what are the symptoms of anxiety
disease_information,is hypertension contagious
disease_information,eczema
symptom_information,wheezing
symptom_information,what does foot pain feel like
emergency,someone is choking
symptom_information,what are symptoms of wet cough
disease_information,how long does allergy last
symptom_information,signs of low hemoglobin
general_health,how can I lower my cholesterol
disease_information,how is tuberculosis diagnosed
disease_information,how common is diabetes
symptom_assistance,I have been having leg cramps
symptom_assistance,I have had stomach pain for two days
disease_information,what are the risk factors for eczema
medicine_information,side effects of vitamin D
symptom_assistance,I am experiencing runny nose
symptom_assistance,what should I do for cold hands and feet
medicine_information,what is antihistamine used for
symptom_assistance,I think I have high temperature
disease_information,what is hypotension
symptom_information,what does yellow eyes feel like
medicine_information,is multivitamin safe during pregnancy
disease_information,how common is allergy
nutrition,what should I eat for weight gain
symptom_assistance,I think I have bruising easily
symptom_information,what are the symptoms of fever
medicine_information,what does antibiotic do
symptom_assistance,I have had swollen joints since yesterday
symptom_information,signs of sneezing
medicine_information,can I take insulin without a prescription
medicine_information,can I take antibiotics without a prescription
symptom_assistance,I am having dry skin
prevention,how can I prevent skin infections
symptom_information,what does bruising easily feel like
symptom_assistance,I have had rash for two days
symptom_assistance,I have had leg pain since yesterday
symptom_information,what are symptoms of wheezing
symptom_information,what are the symptoms of constipation
symptom_assistance,I have had fatigue for two days
symptom_assistance,I have breathing problem
medicine_information,what is antibiotic used for
emergency,severe abdominal pain and vomiting blood
symptom_information,chest pain
symptom_assistance,how can I get relief from loss of smell
symptom_assistance,I have had fever for two days
medicine_information,how does antacid work
medicine_information,insulin
symptom_information,is irritability serious
symptom_assistance,I have had weight loss since yesterday
symptom_assistance,what medicine should I take for high temperature
symptom_information,what are the symptoms of eye pain
symptom_assistance,home remedy for muscle pain
symptom_assistance,I am having excessive thirst
medicine_information,antihistamine
disease_information,how long does stomach ulcer last
symptom_assistance,what medicine should I take for swollen joints
symptom_information,what does loss of smell feel like
disease_information,how common is measles
medicine_information,what does naproxen do
medicine_information,what are the side effects of cetirizine
symptom_assistance,what should I do for abdominal pain
medicine_information,side effects of metformin
emergency,I am having severe breathing difficulty
disease_information,is jaundice curable
medicine_information,what is iron supplement
symptom_assistance,I have had dry skin since yesterday
general_health,how can I improve my immunity
symptom_assistance,I have had cracked lips for two days
disease_information,how common is appendicitis
disease_information,what is measles
symptom_assistance,how can I get relief from cold hands and feet
symptom_assistance,I have ringing in ears
symptom_information,how do I know if I have memory problems
disease_information,tell me about hernia
disease_information,is tonsillitis curable
disease_information,what are the risk factors for sinusitis
symptom_information,how do I know if I have muscle cramps
symptom_information,swollen glands
disease_information,is tonsillitis contagious
disease_information,how common is typhoid
disease_information,tell me about gout
symptom_information,what are symptoms of itching
symptom_information,is jaw pain serious
disease_information,what is tuberculosis
symptom_assistance,I have abdominal pain
symptom_information,how do I know if I have weight gain
symptom_information,what are symptoms of dizziness
disease_information,is flu curable
medicine_information,side effects of painkiller
symptom_assistance,what medicine should I take for sneezing
disease_information,how is rubella treated
symptom_assistance,I have had dizziness since yesterday
symptom_information,how do I know if I have wheezing
symptom_assistance,I have had neck pain since yesterday
symptom_assistance,I have irregular heartbeat
symptom_assistance,I have had memory problems since yesterday
symptom_information,signs of weight gain
disease_information,is food poisoning curable
symptom_assistance,I have been having ear pain
symptom_assistance,I have had leg cramps for two days
symptom_assistance,I am having blurred vision
symptom_information,what are symptoms of jaw pain
symptom_assistance,I have had tongue swelling for two days
symptom_assistance,I am having anxiety
symptom_assistance,I have had loss of smell for two days
symptom_assistance,I am experiencing loss of taste
disease_information,what is cold
symptom_assistance,what medicine should I take for earache
symptom_assistance,what should I do for rash
medicine_information,is antiseptic cream safe during pregnancy
symptom_information,what are the signs of fatigue
disease_information,hypertension
symptom_assistance,what should I do for loss of smell
symptom_information,what are the symptoms of blurred eyesight
disease_information,lactose intolerance
symptom_assistance,I am experiencing hoarseness
symptom_assistance,I have had numbness for two days
medicine_information,what does metformin do
disease_information,how long does dengue last
symptom_assistance,I have been having chest pain
symptom_information,how do I know if I have sweating
symptom_assistance,how can I get relief from nausea
disease_information,how long does obesity last
symptom_information,is headache serious
disease_information,what is irritable bowel syndrome
symptom_information,what are symptoms of excessive thirst
symptom_assistance,I am having sore throat
symptom_information,is cough serious
symptom_information,what does sore throat feel like
symptom_information,is foot pain serious
symptom_assistance,I have been having toothache
symptom_assistance,how can I get relief from wet cough
symptom_assistance,I am vomiting
symptom_information,what are symptoms of weight gain
symptom_information,is memory problems serious
disease_information,how long does fatty liver disease last
symptom_assistance,I have earache
disease_information,acne
disease_information,how common is obesity
symptom_assistance,how can I treat rash
disease_information,what is bronchitis
symptom_assistance,what medicine should I take for swollen ankles
symptom_information,signs of low blood pressure
disease_information,what causes vertigo
symptom_assistance,I am having palpitations
symptom_assistance,I think I have yellow eyes
symptom_information,what does tingling sensation feel like
disease_information,what causes cold
symptom_information,what are the signs of swelling
symptom_assistance,how can I treat fatigue
disease_information,what are the risk factors for hypotension
symptom_assistance,home remedy for sweating
symptom_assistance,how can I get relief from sneezing
disease_information,what are the risk factors for pneumonia
symptom_assistance,I am experiencing facial swelling
medicine_information,can I take ibuprofen without a prescription
disease_information,is hernia contagious
symptom_assistance,I have had facial swelling for two days
symptom_information,signs of shortness of breath
disease_information,is hyperthyroidism contagious
medicine_information,how does multivitamin work
disease_information,what causes irritable bowel syndrome
disease_information,how is kidney stones treated
nutrition,foods rich in calcium
symptom_assistance,I think I have weight gain
symptom_assistance,how can I treat bloating
disease_information,how is gastritis treated
symptom_assistance,I have had muscle cramps since yesterday
general_health,how can I improve my diet
symptom_assistance,I think I have mood swings
symptom_assistance,how can I treat jaw pain
symptom_information,what are the signs of mood swings
symptom_assistance,I have blurred eyesight
symptom_assistance,I am having yellow skin
symptom_assistance,home remedy for dark urine
symptom_assistance,I am experiencing ringing in ears
symptom_assistance,I am having neck pain
symptom_information,is mood swings serious
symptom_assistance,I have had blurred vision since yesterday
symptom_assistance,I think I have loss of smell
medicine_information,is cetirizine safe during pregnancy
disease_information,is conjunctivitis curable
symptom_assistance,I have been having body pain
disease_information,what is cataract
symptom_information,how do I know if I have nausea
symptom_information,acid reflux
symptom_assistance,I have been having puffy eyes
symptom_information,abdominal pain
disease_information,is sinus infection curable
symptom_assistance,I have body pain
symptom_information,what are symptoms of yellow eyes
symptom_assistance,I have had loss of taste for two days
symptom_assistance,I am experiencing low blood pressure
symptom_information,what are the symptoms of palpitations
symptom_assistance,what should I do for mood swings
symptom_assistance,I am experiencing wet cough
symptom_information,what does chest pain feel like
symptom_assistance,home remedy for back pain
medicine_information,how does iron supplement work
symptom_information,what does cold feel like
symptom_assistance,I think I have excessive sleepiness
disease_information,how common is piles
symptom_assistance,how can I get relief from blurred vision
symptom_assistance,home remedy for weight gain
symptom_information,mood swings
disease_information,how long does gastritis last
emergency,I am having a medical emergency
medicine_information,what are the side effects of ORS solution
symptom_information,what are the symptoms of irregular heartbeat
disease_information,malaria
symptom_information,what are symptoms of tingling sensation
symptom_assistance,I have had insomnia for two days
symptom_information,is bloating serious
symptom_assistance,how can I treat difficulty swallowing
symptom_assistance,I have had frequent urination since yesterday
symptom_assistance,I am having body pain
symptom_assistance,I have had bruising easily for two days
disease_information,how is obesity treated
symptom_assistance,how can I get relief from shortness of breath
symptom_assistance,what medicine should I take for loss of appetite
symptom_assistance,I am having fatigue
medicine_information,what are the side effects of vitamin supplement
symptom_information,eye pain
general_health,how can I stay healthy
symptom_assistance,I think I have hair loss
symptom_information,how do I know if I have breathing problem
symptom_information,what are symptoms of loss of taste
disease_information,what are the risk factors for sinus infection
disease_information,kidney stones
symptom_assistance,I think I have loss of appetite
symptom_assistance,I have had anxiety for two days
symptom_assistance,home remedy for chest pain
symptom_assistance,I think I have high blood pressure
symptom_information,dark urine
medicine_information,how does painkiller work
symptom_information,what does facial swelling feel like
symptom_information,what are the signs of foot pain
symptom_assistance,how can I treat swollen joints
disease_information,how long does piles last
symptom_assistance,how can I get relief from jaw pain
disease_information,how long does cold last
symptom_assistance,I have gum pain
symptom_information,what are symptoms of neck pain
symptom_information,headache
symptom_information,what does nausea feel like
symptom_assistance,I think I have toothache
symptom_assistance,I have swelling
disease_information,what are the risk factors for mumps
disease_information,is glaucoma contagious
symptom_assistance,I have had abdominal pain since yesterday
symptom_information,what are the signs of loss of smell
symptom_assistance,I have had cold hands and feet for two days
symptom_assistance,I am experiencing difficulty swallowing
medicine_information,is cough syrup safe during pregnancy
symptom_assistance,what should I do for cracked lips
symptom_information,is high blood pressure serious
symptom_information,what are the signs of dry mouth
symptom_assistance,how can I get relief from chills
symptom_information,what does cough feel like
disease_information,what are the risk factors for cataract
symptom_assistance,what should I do for weight gain
nutrition,what foods should I avoid with diabetes
disease_information,how common is hypotension
symptom_information,what are symptoms of cold hands and feet
disease_information,how common is vertigo
symptom_information,dizziness
symptom_assistance,how can I treat bleeding gums
symptom_assistance,I have difficulty swallowing
symptom_assistance,home remedy for blurred vision
symptom_assistance,what should I do for insomnia
symptom_assistance,I think I have difficulty swallowing
symptom_assistance,how can I get relief from nosebleeds
symptom_assistance,how can I get relief from mouth ulcers
symptom_information,is frequent urination serious
symptom_information,is high temperature serious
symptom_information,is dry mouth serious
symptom_assistance,I have had nosebleeds since yesterday
symptom_information,what are the symptoms of cold hands and feet
symptom_assistance,what medicine should I take for joint pain
disease_information,is piles curable
symptom_information,what are the signs of blurred vision
disease_information,how is sinusitis treated
nutrition,what foods boost immunity
symptom_information,is fever serious
symptom_assistance,I have had swollen glands since yesterday
symptom_assistance,I have had tingling sensation for two days
symptom_information,is bleeding gums serious
general_health,how can I take care of my eyes
symptom_assistance,I think I have anxiety
nutrition,how can I eat healthy
symptom_information,what does toothache feel like
symptom_information,what are symptoms of nausea
disease_information,is dengue contagious
symptom_assistance,I think I have stomach pain
symptom_assistance,I am experiencing weight gain
medicine_information,can I take multivitamin without a prescription
symptom_assistance,I am experiencing bruising easily
disease_information,hyperthyroidism
disease_information,how common is covid-19
symptom_assistance,I think I have cold
emergency,difficulty waking someone up
symptom_information,how do I know if I have irregular heartbeat
emergency,suspected broken bone
symptom_assistance,how can I get relief from body pain
disease_information,tell me about cold
symptom_assistance,I am having eye pain
general_health,how many steps should I walk daily
symptom_assistance,I am experiencing swelling
medicine_information,what does antihistamine do
disease_information,irritable bowel syndrome
symptom_assistance,what medicine should I take for leg pain
medicine_information,what are the side effects of antihistamine
symptom_information,what are the signs of hoarseness
symptom_assistance,how can I get relief from gum pain
symptom_assistance,how can I get relief from loss of taste
disease_information,how is typhoid treated
disease_information,how common is psoriasis
disease_information,mumps
symptom_assistance,I have had excessive thirst since yesterday
disease_information,how is acne diagnosed
medicine_information,can I take azithromycin without a prescription
medicine_information,what is ORS solution
symptom_assistance,I have been having sneezing
symptom_assistance,how can I get relief from high blood pressure
medicine_information,what are the side effects of medicine
disease_information,how long does malaria last
disease_information,how common is anxiety disorder
symptom_assistance,I think I have muscle cramps
medicine_information,what does azithromycin do
symptom_assistance,I am having muscle pain
disease_information,how long does osteoporosis last
symptom_assistance,I have neck pain
symptom_assistance,I have had dark urine for two days
symptom_information,what does bleeding gums feel like
disease_information,how long does sinus infection last
disease_information,what causes psoriasis
symptom_assistance,I have been having frequent urination
general_health,how can I improve my posture
symptom_assistance,I think I have swollen ankles
symptom_assistance,what medicine should I take for cold hands and feet
disease_information,how is stomach ulcer treated
symptom_information,signs of chest pain
medicine_information,can I take vitamin C without a prescription
symptom_information,what are symptoms of stiff neck
disease_information,is arthritis contagious
symptom_information,what are the symptoms of diarrhea
disease_information,is lactose intolerance curable
symptom_information,what are the signs of chest tightness
medicine_information,what is paracetamol
disease_information,how long does rubella last
symptom_assistance,what medicine should I take for yellow skin
symptom_information,what are symptoms of foot pain
disease_information,how is hepatitis diagnosed
symptom_assistance,I am experiencing itching
medicine_information,is pantoprazole safe during pregnancy
symptom_assistance,how can I treat swollen glands
disease_information,how is gout treated
symptom_assistance,I have insomnia
prevention,how can I prevent kidney stones
symptom_information,what are the symptoms of heartburn
disease_information,is asthma contagious
disease_information,what is osteoporosis
medicine_information,what are the side effects of omeprazole
symptom_information,what are symptoms of dry cough
symptom_assistance,I have memory problems
disease_information,what is chickenpox
medicine_information,how does insulin work
symptom_information,how do I know if I have dry skin
disease_information,what are the risk factors for stomach ulcer
disease_information,how is malaria treated
symptom_information,is sore throat serious
disease_information,what causes chronic kidney disease
symptom_information,what are the signs of bloating
symptom_information,what are the signs of loss of taste
symptom_assistance,what medicine should I take for gum pain
medicine_information,how does loratadine work
symptom_assistance,I think I have palpitations
medicine_information,what does cough syrup do
symptom_information,sore throat
symptom_assistance,what medicine should I take for wet cough
symptom_information,is bruising easily serious
symptom_information,how do I know if I have dark urine
symptom_information,what are the symptoms of weight gain
symptom_information,what are symptoms of swollen joints
disease_information,is jaundice contagious
symptom_information,what does runny nose feel like
symptom_assistance,what should I do for nausea
symptom_assistance,I have had constipation since yesterday
disease_information,what is asthma
symptom_assistance,I have been having earache
disease_information,how is vertigo diagnosed
symptom_assistance,I think I have tongue swelling
symptom_information,what are the symptoms of dry cough
medicine_information,is vitamin C safe during pregnancy
symptom_assistance,I am experiencing nausea
symptom_information,what are symptoms of leg cramps
medicine_information,what is calcium supplement used for
symptom_assistance,how can I get relief from rash
symptom_assistance,I am experiencing stomach pain
medicine_information,what are the side effects of loratadine
symptom_information,how do I know if I have constipation
symptom_information,what are the signs of eye pain
symptom_assistance,I have stiff neck
disease_information,what are the risk factors for osteoporosis
medicine_information,what is pantoprazole
medicine_information,can I take naproxen without a prescription
disease_information,is lactose intolerance contagious
medicine_information,side effects of naproxen
medicine_information,what does amoxicillin do
symptom_information,what does high blood pressure feel like
symptom_information,what does confusion feel like
symptom_information,dehydration
disease_information,how common is gastritis
symptom_assistance,what should I do for earache
disease_information,is hypertension curable
symptom_assistance,what medicine should I take for cracked lips
symptom_information,what does abdominal pain feel like
symptom_information,signs of cracked lips
prevention,how can I prevent illness
symptom_assistance,what medicine should I take for cold
symptom_assistance,home remedy for vomiting
symptom_assistance,I am experiencing excessive sleepiness
symptom_assistance,what medicine should I take for cough
symptom_information,gum pain
symptom_assistance,how can I treat itching
symptom_information,what are the signs of blurred eyesight
symptom_assistance,I have been having joint pain
disease_information,is sinusitis curable
symptom_information,how do I know if I have low energy
symptom_assistance,how can I get relief from tongue swelling
symptom_information,signs of puffy eyes
disease_information,what causes eczema
disease_information,is dengue curable
medicine_information,how does naproxen work
disease_information,gastroenteritis
medicine_information,what does pantoprazole do
symptom_assistance,I have blurred vision
symptom_information,signs of gum pain
emergency,I was badly injured
disease_information,is vertigo contagious
disease_information,how is gastritis diagnosed
symptom_assistance,what medicine should I take for frequent urination
symptom_assistance,what should I do for diarrhea
symptom_information,what does shortness of breath feel like
symptom_assistance,I have low blood pressure
symptom_information,what are the symptoms of blurred vision
symptom_assistance,home remedy for difficulty swallowing
symptom_information,earache
symptom_information,is rash serious
medicine_information,can I take pantoprazole without a prescription
symptom_assistance,I have had dry cough for two days
symptom_information,what are the symptoms of stomach pain
symptom_information,breathing problem
symptom_information,what does mouth ulcers feel like
symptom_assistance,I have had muscle cramps for two days
symptom_assistance,how can I treat back pain
symptom_information,what are the signs of yellow skin
symptom_assistance,I think I have dark urine
symptom_assistance,how can I get relief from weight loss
disease_information,tell me about obesity
symptom_assistance,I am having swollen joints
symptom_assistance,I have bruising easily
disease_information,sinus infection
symptom_assistance,I am experiencing vomiting
symptom_assistance,I think I have rash
symptom_assistance,what medicine should I take for tongue swelling
symptom_assistance,what should I do for leg cramps
symptom_information,is swollen glands serious
symptom_information,signs of fatigue
symptom_information,what are symptoms of high temperature
symptom_assistance,how can I get relief from dry mouth
medicine_information,side effects of loratadine
disease_information,how is tuberculosis treated
symptom_assistance,I am experiencing rash
disease_information,how is food poisoning treated
disease_information,how is covid-19 diagnosed
symptom_assistance,I have had excessive sleepiness since yesterday
symptom_assistance,home remedy for joint pain
symptom_information,what does irregular heartbeat feel like
symptom_assistance,how can I treat eye pain
emergency,I fainted
symptom_information,is insomnia serious
symptom_assistance,I have had breathing problem since yesterday
symptom_information,how do I know if I have rash
disease_information,how is glaucoma diagnosed
symptom_assistance,I have been having cold hands and feet
disease_information,is anxiety disorder contagious
medicine_information,what are the side effects of antiseptic cream
symptom_assistance,I have had foot pain since yesterday
disease_information,how common is celiac disease
medicine_information,what are the side effects of ibuprofen
symptom_assistance,I am having swollen glands
disease_information,how long does typhoid last
symptom_information,stiff neck
symptom_assistance,I have had jaw pain for two days
medicine_information,what is syrup
disease_information,what causes mumps
disease_information,thyroid
symptom_assistance,I have had shortness of breath for two days
disease_information,tell me about osteoporosis
disease_information,how is hypotension diagnosed
disease_information,what is depression
disease_information,how common is flu
symptom_information,how do I know if I have fever
symptom_assistance,how can I treat headache
medicine_information,what are the side effects of iron supplement
symptom_assistance,I am having insomnia
disease_information,how is thyroid disorder treated
symptom_information,what does leg pain feel like
disease_information,what causes hernia
symptom_assistance,I have been having swollen glands
medicine_information,side effects of medicine
symptom_assistance,I have had vomiting for two days
emergency,severe allergic reaction
symptom_assistance,I have been having bruising easily
symptom_information,what are the symptoms of gum pain
symptom_assistance,how can I get relief from wheezing
symptom_assistance,I have had night sweats for two days
symptom_information,what are symptoms of headache
disease_information,what causes migraine
symptom_information,what does hoarseness feel like
symptom_assistance,I am experiencing dry mouth
symptom_assistance,how can I get relief from headache
emergency,I need an ambulance
symptom_assistance,I think I have wheezing
symptom_assistance,I am having night sweats
disease_information,what causes measles
symptom_information,what are the signs of cold
symptom_assistance,what should I do for sweating
symptom_assistance,I am having numbness
disease_information,how is celiac disease diagnosed
disease_information,what are the risk factors for acne
symptom_assistance,how can I get relief from ringing in ears
symptom_assistance,I have dry mouth
symptom_assistance,home remedy for tongue swelling
disease_information,what causes hyperthyroidism
symptom_information,is facial swelling serious
medicine_information,iron supplement
medicine_information,how does pantoprazole work
symptom_information,what are the symptoms of weight loss
symptom_information,how do I know if I have heartburn
general_health,how can I reduce alcohol intake
symptom_information,how do I know if I have weight loss
symptom_information,signs of chills
symptom_assistance,I have sneezing
symptom_assistance,what should I do for ear pain
symptom_assistance,I have had headache since yesterday
symptom_assistance,I have had mouth ulcers for two days
symptom_information,what does diarrhea feel like
medicine_information,can I take paracetamol without a prescription
disease_information,obesity
emergency,severe burn injury
symptom_information,is body pain serious
medicine_information,side effects of ORS solution
medicine_information,can I take medicine without a prescription
symptom_information,what are the symptoms of ringing in ears
symptom_information,what are symptoms of watery eyes
symptom_assistance,I have had tongue swelling since yesterday
medicine_information,what is metformin
symptom_assistance,how can I get relief from irregular heartbeat
disease_information,what is vertigo
symptom_assistance,what should I do for cold
disease_information,what causes conjunctivitis
symptom_assistance,I have diarrhea
disease_information,how long does tuberculosis last
disease_information,how is piles treated
medicine_information,how does aspirin work
symptom_information,stomach pain
symptom_assistance,I have had dizziness for two days
disease_information,is gastroenteritis curable
disease_information,what are the risk factors for arthritis
symptom_information,what are the signs of jaw pain
symptom_information,what are the symptoms of numbness
disease_information,how common is kidney stones
medicine_information,how does cetirizine work
general_health,how can I sleep better
disease_information,tell me about gastritis
disease_information,tell me about gastroenteritis
medicine_information,metformin
symptom_assistance,I have had weight loss for two days
symptom_assistance,I am having constipation
symptom_assistance,I am experiencing anxiety
medicine_information,is diclofenac safe during pregnancy
symptom_assistance,I have had toothache for two days
medicine_information,naproxen
symptom_information,how do I know if I have neck pain
disease_information,how is tonsillitis diagnosed
nutrition,what foods are good for the heart
symptom_information,is anxiety serious
disease_information,is appendicitis curable
disease_information,is chickenpox curable
symptom_assistance,I have been having acid reflux
symptom_assistance,I am having cold hands and feet
symptom_assistance,home remedy for chills
medicine_information,amoxicillin
disease_information,how common is glaucoma
disease_information,what is hypertension
general_health,what is a normal body temperature
symptom_assistance,what should I do for bloating
symptom_assistance,I am having excessive sleepiness
disease_information,how is thyroid disorder diagnosed
medicine_information,what is pantoprazole used for
symptom_assistance,I have had dry mouth for two days
symptom_information,how do I know if I have cough
medicine_information,how does diclofenac work
symptom_assistance,how can I treat muscle cramps
symptom_information,what are the signs of sneezing
symptom_assistance,I am having tongue swelling
symptom_information,signs of constipation
symptom_information,what are the signs of chest pain
symptom_information,what are the symptoms of ear pain
symptom_assistance,I have been having dry mouth
medicine_information,what are the side effects of painkiller
disease_information,what are the risk factors for celiac disease
disease_information,what is hyperthyroidism
symptom_information,is constipation serious
symptom_information,what are symptoms of difficulty swallowing
symptom_information,what does constipation feel like
symptom_assistance,how can I treat dry cough
symptom_assistance,how can I get relief from swollen joints
disease_information,hepatitis
symptom_information,tongue swelling
symptom_information,what are symptoms of fever
symptom_assistance,I think I have cough
emergency,I have severe chest pain and difficulty breathing
symptom_assistance,I have had yellow eyes since yesterday
symptom_assistance,I think I have watery eyes
symptom_assistance,I am having earache
disease_information,what are the risk factors for flu
symptom_assistance,what should I do for chest tightness
symptom_assistance,I am experiencing morning stiffness
disease_information,tell me about rubella
symptom_assistance,I have been having wet cough
symptom_information,how do I know if I have swollen joints
symptom_assistance,what medicine should I take for stiff neck
symptom_assistance,I am having low blood pressure
medicine_information,can I take vitamin supplement without a prescription
symptom_assistance,what should I do for swollen glands
symptom_assistance,I have muscle pain
symptom_assistance,how can I get relief from acid reflux
symptom_assistance,I am experiencing cracked lips
disease_information,is stomach ulcer contagious
medicine_information,how does metformin work
symptom_assistance,what should I do for excessive thirst
symptom_assistance,I have been having high blood pressure
symptom_information,signs of confusion
symptom_assistance,how can I get relief from bleeding gums
symptom_information,what are the symptoms of cracked lips
medicine_information,what is paracetamol used for
symptom_information,signs of vomiting
symptom_assistance,I have nausea
symptom_information,what are the signs of low energy
symptom_information,what are symptoms of mood swings
symptom_assistance,home remedy for abdominal pain
symptom_assistance,I am having facial swelling
symptom_information,is leg cramps serious
symptom_assistance,what medicine should I take for low hemoglobin
symptom_information,dry skin
symptom_assistance,I have been having irregular heartbeat
symptom_assistance,I am experiencing jaw pain
symptom_assistance,I am experiencing ear pain
general_health,how can I manage anxiety
symptom_assistance,I have high temperature
symptom_information,how do I know if I have sore throat
symptom_assistance,I have had stomach pain since yesterday
symptom_assistance,I am experiencing swollen joints
symptom_information,how do I know if I have itching
prevention,how can I prevent dehydration
symptom_assistance,how can I get relief from muscle cramps
symptom_assistance,I have weight gain
symptom_information,what does excessive sleepiness feel like
prevention,how can I maintain a healthy immune system
symptom_information,what are the symptoms of yellow eyes
symptom_assistance,I have had chest pain since yesterday
general_health,how can I improve my sleep
symptom_assistance,I have had wet cough since yesterday
symptom_assistance,home remedy for bruising easily
symptom_assistance,how can I treat insomnia
symptom_assistance,home remedy for diarrhea
disease_information,how is malaria diagnosed
symptom_information,what are the symptoms of hair loss
disease_information,what are the risk factors for anxiety disorder
symptom_information,sneezing
symptom_assistance,what medicine should I take for hoarseness
symptom_assistance,how can I get relief from stiff neck
symptom_assistance,I have facial swelling
disease_information,what is glaucoma
disease_information,is malaria curable
disease_information,tell me about anxiety disorder
symptom_assistance,how can I get relief from palpitations
medicine_information,can I take antihistamine without a prescription
symptom_information,signs of blurred eyesight
medicine_information,what are the side effects of syrup
disease_information,tell me about dengue
disease_information,tonsillitis
symptom_assistance,I am having difficulty swallowing
symptom_information,what are the signs of abdominal pain
symptom_assistance,I have joint pain
symptom_information,how do I know if I have blurred eyesight
medicine_information,what are the side effects of pantoprazole
symptom_assistance,I am experiencing chest tightness
disease_information,what are the risk factors for chronic kidney disease
disease_information,how is sinus infection treated
medicine_information,side effects of tablet
symptom_information,what are the symptoms of dizziness
medicine_information,what is antiseptic cream used for
symptom_assistance,I have had wheezing since yesterday
symptom_assistance,I think I have eye pain
symptom_assistance,I have been having swollen joints
symptom_information,what are the signs of palpitations
disease_information,how is cold treated
symptom_assistance,I am experiencing abdominal pain
symptom_assistance,what should I do for memory problems
symptom_information,signs of dry skin
disease_information,what are the risk factors for tuberculosis
disease_information,how long does kidney stones last
symptom_assistance,I have had confusion since yesterday
symptom_assistance,I have been having stiff neck
symptom_information,how do I know if I have facial swelling
symptom_assistance,I have been having loss of smell
symptom_assistance,what medicine should I take for memory problems
symptom_assistance,I have had earache for two days
symptom_assistance,what should I do for swollen ankles
symptom_assistance,how can I treat leg cramps
symptom_assistance,I have vomiting
symptom_assistance,how can I get relief from dry cough
disease_information,how long does acne last
symptom_assistance,I have had chest tightness for two days
symptom_information,what are symptoms of high blood pressure
symptom_assistance,how can I treat low hemoglobin
symptom_assistance,I think I have excessive thirst
nutrition,what should I eat
symptom_assistance,I think I have ear pain
symptom_assistance,I think I have swelling
symptom_assistance,what medicine should I take for dark urine
disease_information,is cataract contagious
symptom_information,is watery eyes serious
symptom_information,ear pain
symptom_assistance,what medicine should I take for leg cramps
symptom_information,what are the signs of dry skin
disease_information,is fatty liver disease contagious
disease_information,is asthma curable
symptom_assistance,I am experiencing toothache
disease_information,tell me about tuberculosis
symptom_assistance,what should I do for stiff neck
symptom_assistance,how can I get relief from diarrhea
disease_information,tell me about depression
