question,category,ai_intent,ai_medical_relevance
Mujhe bsc nursing ki fees ka scture,fees,information_seeking,medium
Neet me 300 makx h,admissions,information_seeking,high
sir mera apoiment 31.07.2025 ka tha pr messeege delete ho gya hai paicenst ka name bhagwati devi hai,general,information_seeking,medium
What today open opd,opd,scheduling,high
Addmission link,general,information_seeking,medium
I need apoyment,general,scheduling,high
BPT ka addmission,general,information_seeking,medium
Non teaching examination date,exams,scheduling,high
Jii maine cuet UG entrance exam apply Kiya haiii,admissions,information_seeking,medium
Surgery estimation enquiry contact,departments,information_seeking,high
I want my uncle death certificate,general,information_seeking,high
Iam looking the new admission of my Daughter (She studying now +2) Pharm D course from Next year Please share the details,admissions,information_seeking,medium
I want to take my mother to an orthopedist.,departments,information_seeking,high
"Aur diploma OT paramedical course mein mujhe admission 10th or 12th ke percentage per mil sakta hai, ya FIR iske liye koi entrance terest exam Dena padta hai",admissions,information_seeking,high
When will b.sc nursing form come out?,courses,scheduling,medium
Neurology department,departments,information_seeking,high
I want to get admission in bsc radiology in your college what do i have to do,admissions,information_seeking,high
Admission details for MSc in Medical Education in distance mode,admissions,information_seeking,medium
Direct link,general,information_seeking,high
Mai ek ot technician fresher hu aur mhuje KGMU ki ot technician ki post chahiye kaise kya Krna hoga please Full details btaye,general,information_seeking,medium
Fee structure kya hai 2026 ka bsc nursing ke liye,fees,information_seeking,medium
Dr Sumit Rungta Sir kab dekhte h,general,scheduling,medium
My mri not done that why my fess refund process,general,complaint,high
Resistration ki last date btao,general,information_seeking,medium
Is there any chance for me to get admission in paramedical course because I not given the exam of commen paramedical entrance test,admissions,navigation,medium
I have passed my 12 I want to do BSc nursing,courses,information_seeking,high
5 saal pahle nero mein patient ko dikhaya tha abhi uske problem thek nhai hui,general,complaint,high
Nursing officer exam date update plz,exams,scheduling,high
what are the course i can get in this college,courses,information_seeking,medium
apoyment,general,information_seeking,medium
What is the nirf ranking of kgmu for mbbs,courses,information_seeking,medium
How to apply B optometry course,courses,information_seeking,medium
How can I get my admit card,general,information_seeking,high
Mera ek baar pila parcha ban gya hai ab koi online appointment ki koi jarurat nahi hai na,appointment,information_seeking,high
United hospital,general,information_seeking,medium
jaise agar hum entrance exam na diye hoto nhi hoga admisson,admissions,information_seeking,high
Retinal detachment ka case hai,general,information_seeking,high
Nursing officer exam date kab hi,exams,scheduling,medium
When will marks of non teaching staff exam will be announcing,exams,scheduling,high
Mai KGMU se dialysis technology seekhna chaheta hu,general,information_seeking,high
क्या के जी एम यू मे जॉब रिक्यार्मेंट आया है,general,information_seeking,medium
Kgmu me bsc nursing ki fees,fees,information_seeking,medium
Shard chandra schedule,general,scheduling,high
Is there any job in pharmacy?,departments,information_seeking,high
Nursing officer post 2025 admit card,courses,information_seeking,medium
How I can apply for a BMLT seat,admissions,information_seeking,medium
Entrances exam wala form kaha milega file karne ke liye,admissions,information_seeking,medium
i am neet aspirant 2025 i want to take admission in bsc nursing in kgmu whats the procedure. is i am late???,admissions,information_seeking,medium
Non tech ka result kab aayega,exams,scheduling,high
Is any waiting on the opd date after booking online appointment?,opd,scheduling,medium
eye ki chach karni hai,general,information_seeking,high
Mujhko skin ke dr ko dikhana hai,general,scheduling,high
Addmission form of b. Bs nursing,courses,information_seeking,medium
How much fees of bsc nursing course in kgmu collage after clear cnet exam,exams,information_seeking,medium
"I want a appointment for my son, vaibhav",appointment,scheduling,high
kgmu m tuberclousis ka treatment kaise karaye,general,information_seeking,high
How do i get admission in bpt,admissions,information_seeking,high
I want to know gynaecomastia surgery cost at kgmu,fees,information_seeking,high
Dr Rajkumar Maurya email id,contact,information_seeking,high
Form for BMLT course,courses,information_seeking,medium
Kgmu me msc mlt me addmission lena hai,courses,information_seeking,medium
Darmalogistic opd me kis kis din dekha jata hai,opd,scheduling,high
i want appointment for tomorrow,appointment,scheduling,medium
Dr. Akhil Sharma ka appointment Lena tha,appointment,scheduling,high
Mujhe lari me papa ko dikhana hai,general,information_seeking,high
How do i register myself for an appointment,appointment,scheduling,medium
Admission for BMRIT COURSE,admissions,information_seeking,high
Number,contact,information_seeking,medium
Kgmu mae Lab technician ki koii post khali hae,general,information_seeking,medium
for drug de addiction in patient services contact number for infromation,contact,information_seeking,high
Any post for ward boy assistant staff OPD helpful,opd,information_seeking,medium
Tomorrow is opd close or not,opd,scheduling,high
What ate tou saying evennif I have online appointment I need ti go to counter to tell tgat I have online appointment and dthen take token. And then I need to show my online slip,appointment,information_seeking,high
Urology opd open on 14th april,opd,scheduling,high
M. Sc in Cardiology course h..??,departments,information_seeking,high
What is need to take admission in bachelor of physiotherapy,admissions,information_seeking,medium
Are post ka exam kab tak hoga,exams,scheduling,high
At 14 april opd open or closed,opd,scheduling,medium
Dear Sir Please reset my account or send my application password Registration No. 0018113766,appointment,information_seeking,high
OPD me kiss counter no me re yellow parcha kattatta h,opd,information_seeking,high
What is procedure of online registration,appointment,information_seeking,medium
Dialysis technician non teaching technical post,general,information_seeking,medium
Baal rog vivag me 12 saal ke piliya ke doctor roj daily baithe hai,general,scheduling,high
appointment kaise book kre,appointment,scheduling,medium
How to get admission in b pharma,admissions,information_seeking,medium
Dental hygiene ki date kab ati hai intresnce ke liye or kya bachey ne agar ek bar math se 12th kiya hua or dobara 12th Bio se single subject kr liya hai to wo course kr sakta hai,courses,information_seeking,high
जब तक की ऑफिशल अपडेट आएगा तब तक यह तो मरीज की हालत खराब हो जाएगी,general,complaint,high
Emergency mey hamesha doctor rahte hai,emergency,information_seeking,high
Kya tum mujhe bta skte ho ki kgmu new opd building plastic surgery department kon se gate no se h,opd,navigation,high
Mujhe site nahi mil Rahi Jo aap ne batati Admission aur bsc nursing mein jaaao yaa no milegaa nahi mil raha,admissions,complaint,medium
Vitilogia ka ilaaj ho jayega,general,information_seeking,high
Merit list for bsc cardiac care technology CAHET GENERAL CATEGORY,courses,information_seeking,medium
Want to know about ot technician admission process,admissions,information_seeking,high
how can i get admission in bpt,admissions,information_seeking,medium
"I am looking for undergraduate/paramedical radiology course after 12th, like B.Sc Radiology or Radiological Imaging Technology.",departments,information_seeking,high
Upcahet me participate nahi kiye h to admission nahi mil shakta h cardiotechnician me,admissions,information_seeking,medium
IDCCM july ke admission ki jaankari,admissions,information_seeking,high
Bpt me addmissen kese le,general,information_seeking,medium
Mujhe online appointment Lena h lari department ka,appointment,scheduling,medium
Kgmu nursing officer ka exam kab hai,exams,scheduling,medium
Kgmu 2025 staff nurse exam ka pattern batao kesa rhega kitne marks ka questions honge,exams,information_seeking,medium
how to apply for bpt course?,courses,information_seeking,medium
Pharmacist ka result Kab aye GA,exams,scheduling,medium
When does this entrance exam take place,admissions,information_seeking,high
महिलाओं के स्तन संबंधी समस्याओं का निदान किस डॉक्टर से,general,information_seeking,high
without 0n call booking vacannication done,contact,information_seeking,high
Kgmu new opd me parche kitne baje tak bante hain?,opd,information_seeking,medium
Where should I go for yellow fever vaccination,general,navigation,high
Bpt course admission,admissions,information_seeking,high
Will OPD be open tomorrow that is 26 march 2026,opd,scheduling,medium
Kgmu non teaching recruitment selected candidates ke documents varification date kab aayegi,career,scheduling,high
Mujhe sunday ko medicine department me.appointment mili hai to kya mujhe jana chahiye,appointment,information_seeking,high
Plz tell me nursing officers exam date,exams,scheduling,high
"Direct Recruitment of Nursing Officer Notice No : 01/Recruitment Cell/2025 , Dated : 01/04/2025.. Exam date announced?",exams,information_seeking,medium
Dr. Gaurav Chaudhari कौन-कौन se din baithte Hain,general,information_seeking,high
Any contact number,contact,information_seeking,high
Can u send no. For admission enquiry,admissions,information_seeking,medium
Neurosurgeon OPD list,opd,information_seeking,high
Ward boy ki vacancy kab niklengi,career,scheduling,medium
Para medical course fees,fees,information_seeking,medium
How get admission in laboratory technician,admissions,information_seeking,medium
Kgmu bmls application,general,information_seeking,medium
31 march 2026 ko opd open h ya nhi,opd,scheduling,high
I'm typing again and again,general,information_seeking,high
can i get admission bpt with neet marks,admissions,information_seeking,medium
Grade 2 level 5 pharmacist result,exams,information_seeking,medium
How do i apply,career,information_seeking,medium
Bsc nursing ke admission ke liye,admissions,information_seeking,high
What about Wednesday,general,scheduling,high
Bsc optometry me admission ke liye kya karna hoga Hindi medium,admissions,information_seeking,medium
Bachelor of medical laboratory technical ( BMLT),general,information_seeking,medium
bone marrow test,general,information_seeking,high
I have 243 marks in neet 2025,admissions,information_seeking,medium
How can I check fee structure,fees,information_seeking,medium
Bsc nursing aur Msc nursing ka entrance ka form kab tak ayega,admissions,scheduling,medium
Heart ke operation me kya kya hota hai,general,information_seeking,high
Jo Dialysis ka exam hua hai 14 November 2025 ko uska result kb tk aayega,exams,information_seeking,high
Want to take opd appointment,opd,information_seeking,high
I want to BO.th last year cuttoff,admissions,information_seeking,medium
online opd kaise prapt karen,opd,information_seeking,high
Blood mein creatinine 3.89 ho gaya hai,general,information_seeking,high
Laari opd,opd,information_seeking,high
how can i applt for bpt,general,information_seeking,medium
Can you provide me result of non teaching post ....exam held in November 14 2025,exams,information_seeking,high
"Price for pathology, opd and 1 day bed charge in kgmu",opd,information_seeking,high
i reached the contact they say there is no contact to radiotherapy department,departments,information_seeking,medium
Neurologist doctor list,departments,information_seeking,high
online appointment book kr skte hai,appointment,scheduling,high
how to download non teaching examination admit card,exams,information_seeking,medium
Admission form 2026,admissions,information_seeking,medium
OPD OPOINTMENT KAISE LE 2MARCH KA,opd,information_seeking,medium
I want to know about pulmonologist doctor,general,information_seeking,high
Mai gastroenterologist se appointment book karna chata hu,appointment,scheduling,high
Tell me the fee of bsc nursing student,fees,information_seeking,medium
"ok btaye ot, pharmacist ki vacancy hai any supporting staff",faculty,information_seeking,medium
Merit base addmission kaise le kgmu mai oprestion थिएटर मै,general,information_seeking,medium
Kgmu se bsc nursing kaise kare in hindi,courses,information_seeking,medium
Yes where is this department,departments,navigation,high
new opd plastic surgry department senior resident dr. rishi singh which day marij dekty hai,opd,information_seeking,high
How to book OPD oppintment,opd,scheduling,medium
DPMR DEPARTMENT KAHA HAI,departments,navigation,high
sir mujhe gastro medicine me dikhana hai kl appointment chahiye,appointment,scheduling,high
Tell me the total number of seats for m.sc radiography,admissions,information_seeking,high
Last date ?,general,scheduling,medium
"Where is the pdf regarding,153/ nov recruitment",campus,navigation,high
Hospital ka registration number kya hai?,appointment,information_seeking,medium
i m from nepal how can i book,appointment,scheduling,medium
Kgmu me wife ko dikhana chahta hu doctor ko,general,information_seeking,high
How to take appointments for surgery,departments,information_seeking,high
Pharmacist job vacancy,departments,information_seeking,high
KGMU me psychologically therapy me Paise lagte h,general,information_seeking,high
Want to contact councellor,contact,navigation,high
Dialysis technician course ka form kabse aayega,courses,information_seeking,high
I want to book ab appointment in lari,appointment,scheduling,high
Paramedical course ya nursing ke course ke Liye NEET exam Dena jaruri h,admissions,information_seeking,high
PLEASE tell me Dr neurosurgeon name and timings IN OPD,opd,scheduling,high
How to download hallticket,general,information_seeking,medium
Appointment se related inform,appointment,scheduling,medium
Cardiology OPD schedule doctor list,opd,information_seeking,high
Blood test reports kaise dekhe online,general,information_seeking,medium
Can I take addmission in bachelor in physiotherapy,general,information_seeking,medium
Can i get my lab reports online,general,information_seeking,medium
Kgmu kis courses me bina entrance admission leta h,admissions,navigation,medium
Where is the Respiratory Medicine,departments,navigation,high
CERTIFICATE IN COMMUNITY HEALTH FOR NURSING TRAINING '' (CCHN)EXAMMINAYION - MARCH 2020,exams,information_seeking,medium
Does KGMU has gastroenterologist,general,information_seeking,high
Mujhe paramedical me admission lena hai kaise le,admissions,information_seeking,medium
How can i apply,career,information_seeking,medium
Where in kgmu,general,navigation,high
Is up cnet important or their is kgmu entrance,admissions,information_seeking,medium
Do you need GNM narsing staff at your hospital,faculty,information_seeking,medium
Dmlt courses ki fess,courses,information_seeking,medium
मुझे kgmc में मेडिकल में जॉब चाहिए,general,information_seeking,medium
current vacancy which will going to happen in 24 july i just want to know is this a permanent or temporary vacancy,career,information_seeking,medium
Ent doctor appointment,appointment,information_seeking,high
Monday ko doctor ko dikhana he kya appoinment usi din ho jae ga,general,information_seeking,high
Baal rog vivag kha hai,general,navigation,high
Kya diploma in rediography bina entrance ke kr skte hi,admissions,navigation,medium
When will Dailysis Technician officer selected candidates list will be released,general,scheduling,high
Cardiology appointment,appointment,scheduling,high
Diploma in radiology,departments,information_seeking,high
Bsc nursing me addmission chahiye mujhe,courses,information_seeking,medium
Fibrid ki opretion ka kitna karcha ata hai,general,information_seeking,high
Sir kgmu me dmlt course available ya nhi,courses,information_seeking,medium
pychaitric doctor ka nam kya h,general,information_seeking,high
How to apply admission for bsc nursing,admissions,information_seeking,medium
Kgmu computer operator vacancy,career,information_seeking,medium
Kgmu nursing officer level 7 ke admit card,courses,information_seeking,medium
New dental buliding mein Prosthodontics department mein dr. Lakshya sir ki opd kab hoti hai,opd,information_seeking,high
Ott course ke lie admission ki full information chaie,admissions,information_seeking,medium
Gastroenterology and Proctology,general,information_seeking,high
Mujhe OPD slip chaiye,opd,information_seeking,medium
नहीं मेरा एडमिट और ऑपरेशन रिकॉर्ड चाहिए,general,information_seeking,high
Mujhe KGMU me admission chahiye,admissions,information_seeking,medium
dr. list of medicine department with degree please tell me,departments,information_seeking,high
What is the fee of B optometry in kgmu,fees,information_seeking,medium
I need physiotherapy course,courses,information_seeking,medium
Skeen Wale doctor ko dikhana appoinment kaise online ragister karu kripa bataeye,general,information_seeking,high
Bsc mlt,courses,information_seeking,medium
Opponent Lena hai,general,scheduling,high
Too mujhe apni mummy ko dikhana hai mai male hu wo padhi likhi nhi hai too iss condition mei mai kya kruu,general,information_seeking,high
How to check my estimate status,general,information_seeking,medium
Nursing tutor vaccancy advertisement,courses,information_seeking,medium
Bachelor in physiotherapy,general,information_seeking,medium
Latest results,general,information_seeking,medium
Diploma in dental highgnist ki admission dete kab tak aayegi,admissions,information_seeking,medium
Please muje job ki need h,career,information_seeking,high
Sab department ka same no.hai kya,departments,information_seeking,medium
Do girl students get hostel facilities for the GNM course?,campus,information_seeking,medium
क्या केजीएमयू में पेडियाट्रिक सर्जरी होती है,general,information_seeking,high
Kgmu ki fees,fees,information_seeking,high
Not my personal issue 2 se 4 lakh bachho ka issue hai ye jis jis ne form fill Kiya hai,general,complaint,medium
In year 2025,general,information_seeking,high
Kgmu mein blood sample diye hue Jo blood Hai uska report Kahan milega ke jivan mein jo pathology test Hai uska report kya online uplabdh hai,departments,information_seeking,high
Mujhe jd rawat pediatric sarjan ka photo chahiye,departments,information_seeking,high
Appointment ke liye Phone Aur SMS kitne baje kar Sakte hai ?,appointment,information_seeking,high
Mujhe course karna hai,courses,information_seeking,medium
क्या आज प्लास्टिक सर्जरी की ओपीडी चलेगी,general,information_seeking,high
Dental hyginest addmission,general,information_seeking,medium
Courses in kgmu lucknow,courses,information_seeking,medium
Me diploma in optometry kar rhi hu mujhe bsc in optometry karna h college me admission kaise le,admissions,information_seeking,medium
Kgmu mein OT mein admission lene ke liye kya entrance exam Dena padta hai,admissions,information_seeking,medium
Kya kgmu mai bpt admission up cpet ka entrance exam ka duara ho skatha hai,admissions,information_seeking,medium
Date of MSSO exam,exams,scheduling,medium
Will opd remain open tomorrow?,opd,scheduling,high
BPT cours,general,information_seeking,high
Diploma in mri technician ke form ki date abhi nhi aayi h ? Website na batana bus Tum bata do,courses,information_seeking,high
NURSING KA MOCK TEST KAB AA RHA H,courses,scheduling,high
Bpt course available or not,courses,information_seeking,medium
am unable to open this link,general,scheduling,high
How can I book an appointment in Haematology deptt,appointment,scheduling,high
City slip out ?,general,information_seeking,medium
When will the forms are updated for bachelor of dialysis technology?,general,scheduling,high
Sir bachelor ki degree hai,courses,information_seeking,medium
How to book apartments to meet the doctor,appointment,scheduling,high
Directly addmission ho jayega bsc nursing me,courses,information_seeking,medium
Kgmu msso document verification,general,information_seeking,medium
How to take treatment of gastroenteologist in kgmu.,general,information_seeking,high
What information u have,general,information_seeking,high
Nursing assistant professor,faculty,information_seeking,high
About department of psychiatric,departments,information_seeking,high
up cnet ke through hota hai,general,information_seeking,high
Is tomorrow holiday,general,information_seeking,medium
i want to take admission in college,admissions,information_seeking,medium
lungs department,departments,information_seeking,high
KGMU nursing officer 2025 ka exam kab hoga,exams,information_seeking,medium
Nursing officer ki post aai h kya ?,courses,information_seeking,medium
where to apply for nursing teaching vacancy,courses,navigation,medium
Mujhe admission chahiye for msc in nutrition and dietetics,admissions,information_seeking,medium
Result of non teaching staff,exams,information_seeking,medium
i visit offical website but it doesn't download,contact,information_seeking,high
Mera discharge slip miss ho gayi kaise milegi,general,information_seeking,medium
I need admissions for bpt,admissions,information_seeking,medium
Course details 2026-27,courses,information_seeking,medium
deaddiction opd for youth on technology,opd,information_seeking,high
Appointment book karwani hai,appointment,scheduling,medium
Mujhe mere bhai ko kgmu m admit krna h usko blood cancer h,general,information_seeking,high
"kgmu have bams and how many seat and , fees",admissions,information_seeking,high
Bse nursing course fees structure,fees,information_seeking,medium
Thursday appointment for skin,appointment,scheduling,medium
NURSING KA EXAM KAB HOGA,exams,scheduling,medium
Can I apply for ug courses now,courses,information_seeking,medium
Dermatology department ka online appointment kaise le sakta hai,appointment,information_seeking,high
Jb admission hota hai to pura fee dete hai starting me hi,admissions,information_seeking,medium
Mobile number change karna hai,contact,scheduling,high
Gastero surgeon,general,information_seeking,high
Hello mujhe appointment book krna h follow up appointment,appointment,information_seeking,high
Bpt admission kgmu,admissions,information_seeking,medium
Ek number receive nhi ho rha hai,contact,complaint,high
Can I get the job as a pharmacist,departments,information_seeking,high
Please tell me Dr. S Saxena day for eye opd,opd,scheduling,high
security officer examination,exams,information_seeking,medium
Bds round 5 cutoff lisit 2025,admissions,information_seeking,medium
Can dialysis done in kgmu,general,information_seeking,high
सर्जिकल असिस्टेंट में एडमिशन लेने के लिए नीट एग्जाम देना होगा,general,information_seeking,high
Mujhe apki university me bsc nursing me admission ke liye entrance exam ki information chahiye,admissions,navigation,medium
MBBS original degree fees,fees,information_seeking,medium
Paramedical ki DV kab hogi,courses,scheduling,high
2026 me vaccancy ka from aaya hai,general,information_seeking,medium
LARI kgmu OPD no chahiye name Bhagelu ram aadhar no 827070725929,opd,information_seeking,high
पर्चा kha बना,general,information_seeking,high
Admission in mphil clinical psychology,admissions,information_seeking,medium
Inquiry kaise kre online,general,information_seeking,medium
I want to book appointment for yellow fever vaccine,appointment,scheduling,high
Gastro Dr name,general,information_seeking,high
I want to know about bachelor's of optometry,general,information_seeking,medium
Above Mentioned link is not working on,general,complaint,medium
i want to take admission in masters in hospital administration,admissions,information_seeking,medium
Admission form for mbbs,admissions,information_seeking,high
Mera naaam asfiya fatima hai mujhe appointment cahiye,appointment,information_seeking,high
Post in icmr project ke liye kya qualification chahiye,general,information_seeking,medium
Hi... actually I wanted to know the time at which the ENT doctors start checking on the patients,departments,scheduling,high
Sir kya ayushman ke antargat rirs ho jayeg,general,information_seeking,high
Opd helper,opd,information_seeking,medium
Mujhe dent dikhana hai,general,scheduling,high
When will conduct other non technical exams which were hold?,exams,scheduling,high
Lab technician cource ka liya na kaisha admission ka skti hu in kgmu,admissions,information_seeking,medium
Kya apke yaha nursing tutor ki vacancy available h,courses,information_seeking,medium
Kgmu nursing officer vacancy 2025 exam date,exams,information_seeking,medium
Agle saal radiology k students ko room mile the,departments,information_seeking,medium
22 april ko chahiye,general,scheduling,high
How can I get dental records,general,information_seeking,high
Bsc radiology entrance exam date ?,admissions,scheduling,high
"Applications are invited for Regular Appointment of Nursing Officers at King George's Medical University (KGMU), Lucknow. Payment Last date 25-05-2025",appointment,scheduling,medium
I want duplicate bill,general,information_seeking,high
Surgery of baby,departments,information_seeking,high
Msc anatomy,departments,information_seeking,high
Do I need to do any registration for yellow fever vaccination,appointment,information_seeking,high
I want to book an appointment for cardiologist,appointment,scheduling,medium
Main ott course me admission kaise le,admissions,information_seeking,medium
Neurologist says that you should visit Daliganj for Orthopedic OPD consultation.,opd,information_seeking,high
Kgmu me liver ke dr kis kis din baithte hai,general,information_seeking,high
Mujhe dermatologist ko dikhna hai aaj,departments,scheduling,high
sumit rungta aya h nhi,general,information_seeking,high
Mere bhai ki abhi tak post mardam report nhi mili h,general,information_seeking,medium
Any other no.,general,information_seeking,medium
Diploma in operation theater technician course details,courses,information_seeking,high
Paramedical corse admission details,admissions,information_seeking,medium
My brother is waiting for dialysis but it is not being done on time. I have the Aadhar number and address. I can tell you the mobile number right now.,campus,scheduling,high
Contact number regarding admission,admissions,information_seeking,medium
opd information links,opd,information_seeking,high
नर्सिंग examinaction sop chehey thi kgmu ki,exams,information_seeking,medium
B.s.c nursing entrance exam form out date 2026.,admissions,information_seeking,medium
Kgmu nursing officer ka exam date kiya thi announce hui thi ya nhi,exams,scheduling,high
Khansi ke liye kis doctor ko dikhana chahiye,general,information_seeking,high
Bas yahi ki form kab apply karna h,career,information_seeking,high
Exoected date if you could tell me or current status,general,information_seeking,medium
Upcnet to 120 marks ka hota hai usme se kitne marks lane hote hai qualification ke liye 2026 me kgmu me,general,information_seeking,medium
"I want to know , when nursing officer exam will be conducted",exams,scheduling,high
i want information regarding radiology courses,departments,information_seeking,medium
I want to book an appointment for my eyes check up,appointment,scheduling,medium
Appointment kaise book kre,appointment,scheduling,medium
Kgmu Ma bpt aur mpt ma admission kab sa start ho ga,admissions,scheduling,high
Bachlor of pharmacy ki vacancy,departments,information_seeking,medium
Please book my appointment,appointment,scheduling,high
Chicken liver in lspgt,general,information_seeking,high
Any updates for MHA counselling?,admissions,scheduling,high
I wanted to know if there's any internship opportunity available in the clinical psychology department,departments,information_seeking,high
Is the number Linked with adhar is been corrupted then can we provide alternative number for opd registration,opd,information_seeking,high
What the eligibility of admission in bpt course,admissions,information_seeking,medium
Cancel my appointment,appointment,scheduling,high
For how many days depression patient got admitted,general,information_seeking,medium
Kgmu me hi mil skti h ? Diploma in mri technician krne baad,courses,information_seeking,high
Doctor pooja Ramakant appointment,appointment,scheduling,high
Hi diploma dental hygienist me admission kaise hoga,admissions,information_seeking,medium
Kis link se jakr appointment milega neurology patient ka,appointment,scheduling,high
I need to enquire about admission,admissions,information_seeking,medium
Exam date,exams,scheduling,medium
Pt.ko appointment chahiye,appointment,scheduling,high
M a home science registration last date,appointment,scheduling,medium
Above Link is not working,general,complaint,medium
This university have bsc radiology,departments,information_seeking,medium
Msc nursing admission,admissions,information_seeking,medium
Online appointment ke liye,appointment,scheduling,high
YAHA EYE KA ILAJ HOTA HAI,general,information_seeking,high
Opin ment,general,information_seeking,medium
What is cutoff for mbbs in this college or rank,admissions,information_seeking,high
Website bhejo,contact,information_seeking,medium
My mother has been lost memory and sensitive can I admit in emergency,emergency,information_seeking,high
Can i get appointment for tomorrow for shantanu sir,appointment,scheduling,medium
Urology opd schedule,opd,scheduling,high
Kal doctor arun kumar sharma opd lege ki nahi,opd,information_seeking,high
Opd appointment contact number,opd,scheduling,medium
M asking for the exam held on 3 April 2026,exams,information_seeking,medium
Paramedical of sanitation,courses,information_seeking,high
For online registration of patient,appointment,information_seeking,high
Hi i need to book appointment,appointment,scheduling,high
How do you get,general,information_seeking,medium
How do I apply for diploma in physiotherapy,courses,information_seeking,medium
Blood report lena hai,general,information_seeking,high
Gastroenterology vivag kha hai,general,navigation,high
बीएससी नर्सिंग का कुल खर्च कितना आएगा,general,information_seeking,medium
Mujhe uhid number kaise milega,contact,information_seeking,high
Yha muje bsc ott Krna hai kya eglibilty hai,courses,information_seeking,medium
Dr.sharad chandra sir lari me kis din dekhte h?,general,information_seeking,high
Opd me dikhane ke liye appoinment kaise lena hoga offline ya online,opd,information_seeking,medium
Mujhe urologist doctor se appointment Lena hai,appointment,scheduling,high
Admission in bsc.radiotherapy,admissions,information_seeking,medium
I want to know fee structure of course bachelor's in medical laboratory technique complete information about this course only,fees,information_seeking,medium
Multiple post recruitment exam 14 november result date,exams,scheduling,high
Please share email id dr p tandon,contact,information_seeking,high
Admit card download nhi ho rha.,general,complaint,medium
Non technical exam ka result kab tak aayega jo 14/11/25 ko hua tha,exams,scheduling,medium
Please kindly tell me that when kgmu take vacancy OT technician exam will done,exams,scheduling,high
Nursing tutor and assistant professor,faculty,information_seeking,medium
Doctor help you happy advice,general,information_seeking,medium
Ot assistant second call dv kab tak aye ga,contact,scheduling,high
Ooth aur dant me problem hai to kaha dikhaye,general,navigation,high
Sorry but call lag nhi rahi,contact,complaint,medium
Admissions for paramedical courses are open?,admissions,information_seeking,medium
I lost my report slip,general,complaint,high
Mjhe appointment leni h,appointment,scheduling,high
I want latest list,general,information_seeking,high
lab reports kaise dekhe,general,information_seeking,high
How are the admission process for msc nursing in kgmu,admissions,information_seeking,medium
"hi,kgmu nursing officer exam was conducted or not?",exams,information_seeking,high
Ho jayga n neet ke through score card se,admissions,information_seeking,medium
Okay so suggest me more courses and diploma in kgmu i want to know if I can do,courses,information_seeking,medium
RCT ka kya charges hai,fees,information_seeking,high
Dental science ka doctor kab baithate है,general,scheduling,high
Kya dermatology department mein online appointment next month le sakte hai,appointment,information_seeking,high
Nursing govt form link,courses,information_seeking,medium
what are the bsc in ott,courses,information_seeking,high
Kgmu appoinment for opd,opd,information_seeking,medium
Kgmu ke form kab nikalenge,general,scheduling,high
Sir pharmacy ka exam kb hoga,exams,information_seeking,medium
Doctor Rekha kis din baithati Hain please iski Jankari den,general,information_seeking,high
When schedule the MSSO exam of KGMU ?,exams,scheduling,medium
After 12 th pcb,general,information_seeking,high
In pediatric surgery,departments,information_seeking,high
when will the nursing vaccancy exam,exams,scheduling,medium
I want appointment for rishi Sethi,appointment,scheduling,medium
Appointment lena hai,appointment,scheduling,medium
both the number is not working,contact,complaint,medium
Appointment notice,appointment,scheduling,medium
Date of practical exam for pcpndt cbt exam held on 6 sep,exams,scheduling,medium
Exam date nursing officer 25/04/2025,exams,scheduling,high
Cardiology,departments,information_seeking,high
Plastic surgery department general ward very hot all patient is very disturb,departments,complaint,high
How to do appointment?,appointment,scheduling,medium
Kgmu nursing officer exam 2025 kab hai,exams,scheduling,medium
when will nursing officer 2026 recruitment form filling date,courses,scheduling,medium
Eye OPD daily countinue rahti hai,opd,information_seeking,high
I want to remove glasses of my brother. I want lasik surgery for him,departments,information_seeking,high
They are not working,general,complaint,medium
OT bachelor course,courses,information_seeking,medium
OPD new registration,opd,information_seeking,medium
Assistant professor in nursing vacancy,faculty,information_seeking,medium
Batch list 24 batch md psychiatry,departments,information_seeking,high
What to fill in the demand draft for admission in KGMU,admissions,information_seeking,medium
Can I not get admission without an entrance exam?,admissions,information_seeking,high
Sir nursing officer ke liye Admit card kab milega,courses,scheduling,medium
2026 me kab tak aaygi,general,information_seeking,medium
Nurshing officer latest apply vacency ki jaankari leni hai,career,information_seeking,high
Mujhe rajistraion karna hai,general,information_seeking,medium
Dr Pawan Kumar Gupta sir ko dikhana hai,general,scheduling,high
Opd me kaise dikhaye,opd,information_seeking,medium
Trauma emergency reports,emergency,information_seeking,high
the list of selected candidate,general,information_seeking,medium
Daant ka doctor kaun sa din baithta hai,general,information_seeking,high
Kaise milega,general,information_seeking,high
On 3rd April Friday KGMU OPD open or closed please tell me?,opd,scheduling,high
Admission portal ka contact no. Chahiye,admissions,information_seeking,medium
Nursing officer exam date,exams,scheduling,medium
i want to contact you to talk about my admission,admissions,contact,medium
Msc nursing,courses,information_seeking,medium
Ultrasound fee,fees,information_seeking,high
Online opd slod,opd,information_seeking,medium
Do I need a separate appointment if the doctor has asked to visit on a certain date in discharge summary,appointment,scheduling,high
Bsc radiography me admission kaise hoga,admissions,information_seeking,high
can u search in the notice section a notice from microbiology regarding PAC BIDDING,departments,information_seeking,medium
How to take admission in BPT,admissions,information_seeking,high
मुझे कार्डियो सर्जन को दिखाना है। ए वी आर केस है,general,scheduling,high
Muje hair transplant krana h,general,information_seeking,high
